OID_,Shape_Length,Shape_Area,Park Majority,Impervious_majority,Water_majority,Low_permeability,elevation_min
503,2000,250000,0,1,,1,42.78530884
504,2000,250000,0,1,,1,-0.519999981
505,2000,250000,0,1,,1,-0.680000007
506,2000,250000,0,1,,1,-0.680000007
507,2000,250000,0,1,,1,58.0680542
508,2000,250000,0,1,,1,33.70862579
509,2000,250000,0,1,,1,47.45430756
510,2000,250000,0,1,,1,13.79424
511,2000,250000,0,1,,1,13.00567436
512,2000,250000,0,1,,1,40.5109024
513,1954.31889,244150.0343,0,1,,1,25.94743347
514,124.5208081,665.0778352,0,1,,1,0
515,2000,250000,0,1,,1,93.09138489
516,2000,250000,0,1,,1,27.01739883
517,2000,250000,0,1,,1,20.54608536
518,2000,250000,0,1,,1,15.1809063
519,2000,250000,0,1,,1,22.7383976
520,1728.882292,142895.6346,0,1,,0,29.88079643
521,2000,250000,0,1,,1,4.479207993
522,2000,250000,0,1,,1,7.525494576
523,1380.249914,63058.31062,0,1,,1,-0.540000021
524,136.1595208,795.215144,0,1,,1,76.86707306
525,1586.925365,143980.5286,0,1,,1,4.450367451
526,2000,250000,0,1,,1,52.6675415
527,2000,250000,0,1,,1,43.106987
528,123.1515378,650.5314413,0,1,,0,33.08270264
529,2000,250000,0,1,,1,0
530,131.3673306,740.224344,0,1,,1,67.91056824
531,1901.194224,156077.8984,0,1,,1,-0.680000007
532,2000,250000,0,1,,1,64.44935608
533,2000,250000,0,1,,0,2.645724535
534,1727.350526,141681.7946,0,1,,1,2.509379148
535,2000,250000,0,1,,1,2.035105705
536,2000,250000,0,1,,1,63.20600128
537,2000,250000,0,1,,1,8.967483521
538,2000,250000,0,1,,1,16.27861595
539,2000,250000,0,1,,1,88.96381378
540,108.5752621,505.6495961,0,1,,1,7.891679764
541,1731.226845,144739.8689,0,1,,1,-0.259760559
542,2000,250000,0,1,,1,20.39101219
543,82.21718536,289.9433159,0,1,,1,61.49183273
544,2000,250000,0,1,,0,-0.680000007
545,2000,250000,0,1,,1,65.5602417
546,2000,250000,0,1,,1,18.86192894
547,2000,250000,0,1,,1,30.83455086
548,2000,250000,0,1,,1,-0.379999995
549,2000,250000,0,1,,1,6.152236462
550,2000,250000,0,1,,1,78.97442627
551,2000,250000,0,1,,1,-0.679064751
552,1073.981071,39338.56221,0,1,,1,17.76211929
553,2000,250000,0,1,,0,22.59073639
554,2000,250000,0,1,,1,24.75050735
555,2000,250000,0,1,,1,83.19606781
556,2000,250000,0,1,,1,37.46408463
557,2000,250000,0,1,,0,13.39669609
558,2000,250000,0,1,,0,-0.680000007
559,2000,250000,0,1,,1,102.349617
560,2000,250000,0,1,,1,28.66952896
561,2000,250000,0,1,,1,2.366417408
562,2000,250000,0,1,,1,-0.680000007
563,2000,250000,0,1,,0,-0.680000007
564,2000,250000,0,1,,1,21.3932457
565,2000,250000,0,1,,1,77.36553192
566,2000,250000,0,1,,1,49.53944016
567,2000,250000,0,1,,1,51.69093704
568,2000,250000,0,1,,0,-0.680000007
569,1721.536077,137012.6033,0,1,,1,6.421771526
570,312.1680741,4140.46061,0,1,,1,71.24130249
571,2000,250000,0,1,,1,78.06388092
572,2000,250000,0,1,,0,16.46969414
573,2000,250000,0,1,,1,-0.349999994
574,2000,250000,0,1,,1,59.56448364
575,2000,250000,0,1,,0,0
576,2000,250000,0,1,,1,67.11135101
577,445.1663388,12440.96345,0,1,,1,-0.680000007
578,2000,250000,0,1,,1,28.19879532
579,2000,250000,0,1,,1,11.31442451
580,2000,250000,0,1,,1,-0.519999981
581,2000,250000,0,1,,1,14.60186958
582,125.2055287,672.4122642,0,1,,1,61.83167648
583,2000,250000,0,1,,0,6.407410622
